Tiempo Relativo,Frecuencia,Porcentaje,Porcentaje Acum.
-21,1,0.08,0.08
-20,2,0.17,0.25
-19,2,0.17,0.42
-18,2,0.17,0.59
-17,2,0.17,0.76
-16,3,0.25,1.01
-15,3,0.25,1.26
-14,3,0.25,1.51
-13,6,0.51,2.02
-12,7,0.59,2.61
-11,9,0.76,3.37
-10,12,1.01,4.38
-9,22,1.85,6.23
-8,25,2.1,8.33
-7,32,2.69,11.02
-6,34,2.86,13.88
-5,36,3.03,16.91
-4,36,3.03,19.94
-3,36,3.03,22.97
-2,36,3.03,26.0
-1,36,3.03,29.03
0,36,3.03,32.06
1,36,3.03,35.09
2,36,3.03,38.12
3,36,3.03,41.15
4,36,3.03,44.18
5,36,3.03,47.21
6,36,3.03,50.24
7,36,3.03,53.27
8,36,3.03,56.3
9,36,3.03,59.33
10,36,3.03,62.36
11,36,3.03,65.39
12,35,2.95,68.34
13,34,2.86,71.2
14,34,2.86,74.06
15,34,2.86,76.92
16,34,2.86,79.78
17,33,2.78,82.56
18,33,2.78,85.34
19,33,2.78,88.12
20,30,2.53,90.65
21,29,2.44,93.09
22,27,2.27,95.36
23,24,2.02,97.38
24,14,1.18,98.56
25,11,0.93,99.49
26,4,0.34,99.83
27,2,0.17,100.0
